Cultivos y cubiertas de suelo,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1303 ALICANTE,336.7191,300.2156,880.88,431.06510000000003,347.9179,78.346,,49.1672,650.5176,213.453,692.4875,868.8192,1042.6967,304.3049,,371.6914,,429.5068,576.7202,431.5973,688.2452999999999
1312 CASTELLON,,316.7605,21.93,19.306,120.8268,4.8292,,31.1828,10.4211,314.7125,330.2046,414.0783,222.274,139.5474,347.4408,265.3906,545.2574,201.7788,282.7021,119.0921,119.0847
1346 VALENCIA,233.9848,374.3714,228.35,212.1383,457.2931,549.2138,865.3117000000001,572.3186,3421.8503,761.5194,243.4818,1877.9121,1521.7994,472.1525,925.3594,2307.5458,1897.1703,157.8764,3892.6163,480.01329999999996,791.9892
"1430 R,DE MURCIA",450.3228,112.887,,86.6458,200.88959999999997,313.2232,512.2033,254.551,9.3121,2016.4259,163.2178,110.194,202.8727,77.8159,,,33.8358,292.2326,152.8367,2844.3051,29.9827
1506 BADAJOZ,82887.1126,95906.0604,54078.805199999995,31343.9053,27742.862800000003,22377.0374,15665.8901,10657.939199999999,16794.962,9395.4139,17622.7103,24166.5494,7239.139300000001,6574.591600000001,3177.0902,10963.2319,5826.157,4400.294,747.5971,3350.0361,3457.7935
1510 CACERES,1167.8888,2578.8241,5085.2722,158.3441,1092.1277,672.3031,624.195,2467.7382,6886.5643,1933.7782,2087.1005,2104.6924,1570.083,1356.7936,1960.8931,19.6323,4731.0259,2337.7573,69.8049,339.8222,275.0148
1604 ALMERIA,5510.004,2717.8917,1030.199,1791.9987,704.2957,1615.3895,1615.7189,1142.5622,325.8575,1277.6657,862.7754,1765.0901,,692.2944,,,583.0388,616.1104,948.6789,480.1903,229.369
1611 CADIZ,98104.538,107838.36369999999,81685.0477,59363.3287,63799.7648,67438.4595,65851.7995,63840.0076,69610.71830000001,61343.726,55740.8373,58502.8808,69506.7921,70178.42839999999,74890.02170000001,51486.8607,59800.5096,50914.2542,66912.0269,42154.4159,50563.7037
1614 CORDOBA,131162.8199,141600.7215,118956.37049999999,84557.9449,113418.1064,90301.8628,92273.3223,62799.5242,79377.9334,68386.993,55970.0417,63433.895599999996,54942.768000000004,57480.7639,60740.9669,39336.748700000004,45763.189399999996,39575.139800000004,54492.4875,44769.427899999995,43852.3286
1618 GRANADA,26877.773699999998,18513.244000000002,17513.806999999997,8374.4982,9090.4267,11590.0589,6818.2518,7682.767400000001,6057.9946,3681.7545999999998,3352.8919,1228.9688,2503.3815000000004,2848.5813000000003,2868.16,2113.3845,1103.2592,1788.0394000000001,1278.7584000000002,5443.4658,3017.9544
1621 HUELVA,30726.4377,30373.901700000002,20553.4589,14214.7205,14398.8984,14184.5807,15539.3922,11699.3923,10307.9893,11350.663999999999,9690.5961,21293.2939,19175.8456,14359.3897,15549.2116,16452.1996,12675.6368,19179.5373,16227.381300000001,21466.6246,16357.5688
1623 JAEN,17274.0653,21642.9417,20359.0275,15149.239800000001,24877.7475,14052.2931,17542.1512,7344.9308,6593.258,9515.5425,8113.3597,9232.6651,10594.346399999999,9422.0296,10359.383300000001,3456.9246,4402.1365,4656.0463,6984.0598,10930.0576,6937.7406
1629 MALAGA,36730.6414,44742.1063,32238.4568,29989.6595,24843.5838,29352.6815,23238.5132,24528.7075,21275.8001,16626.7064,15952.0788,13977.3356,20029.4376,19269.969,25459.3076,15233.424,13112.4199,12990.3985,20473.9455,16469.1414,14214.373399999999
1641 SEVILLA,206032.46469999998,217138.9051,157534.34889999998,118748.8005,153249.2334,131436.0546,157621.37920000002,102385.5334,163267.5115,121877.3792,113623.51430000001,143942.81710000001,135430.7556,124160.8484,140243.27980000002,115425.6336,108950.25850000001,106756.54209999999,108582.6951,97762.051,83133.4869
1735 PALMAS (Las),11.352500000000001,,,,,,,,,0.354,10.8126,3.519,,,167.9216,,4.379,,,,
"1738 Sta,C,TENERIFE",98.2319,75.4434,36.4932,2.0665,,,,,,,,,,6.3204,6.3097,,,,,,
01020 TRIGO BLANDO Y SEMIDURO,1191057.9609,1319305.4429000004,1290151.0942,1318607.0078000003,1503331.2144,1248021.2386000003,1443153.4379,1593375.0246,1807813.5550000004,1761730.7328000008,1884041.6559999995,1800105.8631,1814448.7232000001,1679292.4836000002,1758715.5881999999,1701725.596,1699751.6048999997,1871995.4564999999,1903557.2338999999,1792228.9931,1708558.8957000002
0115 CORUÑA (LA),1656.1211999999998,1054.1499000000001,1998.5207,3104.3612,3117.3676,3315.8924,1899.7909,1826.0207,2274.0445,1778.5568,1732.9309,1708.9002,1705.0149,1614.7866,1695.8922,1833.7527,1867.7781,1734.6189,1635.9823,1494.7531,1506.68
0127 LUGO,4830.6023,4100.6133,2759.9782,3348.2119,3401.2567,3614.4142,3272.7754,3421.9124,3975.6907,3584.049,3657.6181,3764.4502,3727.4174,3370.6663,3151.4414,2886.9847999999997,2666.8612000000003,2727.5679,3410.1186,2677.4268,2333.6947
0132 ORENSE,12841.1056,13363.0183,9972.482100000001,9078.7317,10200.2364,8792.3658,9429.9107,9694.115600000001,9302.7089,9233.0682,8249.7463,9282.5209,8639.918399999999,8485.8829,8144.7355,7716.7657,8711.7528,7800.7418,8187.6557,6331.8572,6973.8253
0136 PONTEVEDRA,615.6236,550.7211,525.9198,582.9431,878.9859,709.751,318.6341,535.736,916.6013,338.9297,307.0076,420.4222,380.5754,333.9995,194.6416,165.3347,116.9307,120.6311,114.0083,143.9061,72.7163
"0233 P,DE ASTURIAS",22.7007,22.7007,,6.9498,7.4643,,8.11,8.11,17.0653,5.792,,,,32.6028,,,,,,,
0339 CANTABRIA,628.2273,777.3748,761.4182,456.4246,858.6072,633.0414,467.2142,714.2467,941.4884,473.3091,1020.3135,744.1625,756.1106,651.9673,673.7108,615.8145999999999,558.4796,1113.4709,522.4109,748.0952,774.4739
0401 ALAVA,25308.4939,26929.8254,29660.2409,23075.918400000002,29646.3559,20518.9777,27956.4981,25465.4807,26606.9476,25554.3807,33075.7432,25124.2871,25085.0719,25508.8656,25635.6185,28546.5231,25702.0872,38282.403900000005,36159.5812,23739.2674,23617.3403
0448 VIZCAYA,,,,,,,,,,0.7592,,,,,,,,,,,
0531 NAVARRA,57333.256,64831.8885,58544.3288,55347.881799999996,68139.49429999999,60588.198800000006,73214.0935,77798.04370000001,83087.9566,60580.750100000005,68272.6621,69279.0817,74936.121,75188.8707,79126.6933,80282.1832,74568.1324,80611.57710000001,81094.3839,81696.0185,77847.7623
0626 LA RIOJA,38491.6304,42107.7061,36133.7013,35360.5784,34625.5611,23637.9773,37896.894,41418.5738,39431.406800000004,37615.9372,38409.549699999996,35985.235499999995,32544.178799999998,33314.6383,33779.2009,34631.5459,30109.302,29962.301,32340.7484,28436.5126,24131.5069
0722 HUESCA,28988.430200000003,26864.289200000003,26204.8413,24794.928099999997,32205.061299999998,24911.9405,36532.0082,51599.371499999994,65790.0498,57885.4746,56998.3967,74253.15239999999,65865.9142,59605.0355,63215.4412,77771.633,72700.9176,85678.524,75320.82310000001,83539.9249,80818.6486
0744 TERUEL,23647.0013,18136.279000000002,26231.8833,28560.698,34288.2282,26475.806800000002,36023.3885,39913.636,43238.6175,44744.047699999996,43022.7334,39559.532999999996,45721.253600000004,37385.597,28442.4863,27823.3616,40062.2579,38946.8863,47344.1658,48655.525,49613.060900000004
0750 ZARAGOZA,23778.45,26264.759100000003,32468.0746,32746.4081,38150.1362,28482.5498,35502.653399999996,50186.7093,53996.228500000005,48368.9739,60532.388399999996,54034.1201,53935.729199999994,48102.114,64747.35400000001,60012.0653,64125.2997,76074.3971,86051.1982,71994.9225,71756.4854
0808 BARCELONA,19364.1012,19442.2102,18336.1918,21447.3956,18667.9136,18735.2949,21040.7737,24192.5743,28210.1942,19548.4296,27307.9688,19968.6871,26827.5668,19858.5627,20659.8949,19254.761599999998,22003.940899999998,24625.779,28115.6812,23980.435,30809.8655
0817 GIRONA,12741.8943,14512.9346,12837.6719,13474.734600000002,17300.2279,16927.8751,15239.2236,16836.8488,13334.216400000001,12569.768,13786.7291,11344.0854,9775.227,8312.2174,4752.741,8043.0574,4213.0224,9090.839,4799.156300000001,11421.8138,11536.0789
0825 LLEIDA,31458.7137,40223.6161,40122.9686,48535.4486,46519.8974,41152.0247,43633.4492,52445.265400000004,49800.369,52273.28140000001,51015.1434,52390.7784,42212.3148,43579.2001,31575.9009,39028.9374,50807.4138,63784.502,54866.167199999996,47898.3261,52489.3301
0843 TARRAGONA,3537.4842000000003,5685.8337,4162.8256,6355.544900000001,7697.4618,6322.6902,5718.6206,6762.8508,8486.7178,7202.1684,6539.3216,5787.410199999999,6205.0203,6557.9123,3261.5663,7191.9512,8015.3418,7836.2874,8624.727499999999,7027.4328,6227.3646
0907 BALEARES,3124.9907,3147.0976,2258.3549,2644.2597,2096.4922,2509.2605,2803.8894,3402.1743,4630.5962,4213.492,6517.4816,5451.038500000001,4846.2179,1545.4089,3489.9602999999997,2566.3849,4414.9207,3861.9928999999997,5865.8487,3960.1711,3092.1802
1005 AVILA,16627.8506,24942.3131,14218.6507,21206.8567,25654.0134,20634.1637,28614.152400000003,31591.7573,35528.6966,35941.4078,39245.3226,40785.638699999996,46264.225099999996,37252.7955,38401.7823,32835.6103,37068.3297,31556.3923,39657.4198,31746.9843,32013.786099999998
1009 BURGOS,189666.6323,192681.2757,178839.92010000002,187887.386,223324.48380000002,157718.5294,206786.0061,199259.2189,248401.3449,235299.1653,244321.94480000003,236394.6696,241726.3764,229255.04520000002,255638.34399999998,227088.50960000002,193378.6622,231797.4592,227331.0087,215121.8365,207858.28160000002
1024 LEON,29520.0331,42023.7242,38503.048,31754.9412,47122.446299999996,44603.8771,45550.608199999995,50514.777299999994,54057.799699999996,59109.3711,62863.948399999994,59797.8585,59504.3892,65387.4464,74729.1292,48566.5555,61019.2355,43222.084,66201.0738,48109.1156,34083.1655
1034 PALENCIA,96593.6493,108991.8538,85659.13739999999,81451.3486,115883.06790000001,84024.02189999999,101922.5969,107187.1272,111921.64880000001,126209.4476,125404.7868,123871.1688,129648.06229999999,136483.04499999998,148618.0984,125118.0827,116249.3272,135818.6969,138731.168,126822.2018,126198.2476
1037 SALAMANCA,47076.6896,51586.7468,43445.061200000004,49905.8217,61998.0153,50992.2849,50327.8564,59968.4814,57768.7616,64827.1745,76518.4599,68069.462,69931.0195,62683.720400000006,87762.76199999999,64233.650299999994,77399.16500000001,69559.83320000001,61101.5704,58716.7207,64181.2632
1040 SEGOVIA,55507.6603,48903.5782,48758.1147,48495.490900000004,60846.796299999995,42964.541,53323.862,61064.335499999994,68447.8445,74715.8527,76971.5263,75051.8728,78568.4376,80764.1825,79996.1689,73536.2188,72710.42409999999,70819.20730000001,74495.03730000001,63661.43,59672.041399999995
1042 SORIA,88374.5447,109830.401,111177.8919,112240.6881,100625.34539999999,65105.9569,97004.5386,112402.6834,117230.4893,115429.29599999999,116164.0477,110395.9051,115084.65299999999,111470.0877,106736.48109999999,108774.44840000001,104659.92510000001,121262.2459,112938.8242,108018.5751,85939.95430000001
1047 VALLADOLID,36134.5879,36420.0321,21227.1669,20283.8663,30386.462700000004,31883.692,46324.678900000006,65032.2059,62047.0478,78784.03129999999,90282.64529999999,108477.1507,114899.4746,114553.7612,120289.9789,113232.3091,102382.5579,115916.8594,115181.9869,118330.6465,118883.7716
1049 ZAMORA,37360.8333,61484.6583,34284.9515,41827.0352,51412.745800000004,53980.3559,59111.8666,55647.0974,61054.387899999994,59106.2598,66997.7565,68044.7559,70952.4223,66312.1016,77030.61970000001,74386.4774,69151.2932,70138.4362,77299.93569999999,70020.3725,68431.055
1128 MADRID,15412.342700000001,18859.891900000002,14721.434000000001,13347.3478,20844.596700000002,17914.144200000002,14401.6321,17487.6403,27891.740899999997,25825.060299999997,33816.3057,29197.9999,21920.9662,18591.074,19086.7944,15665.0893,18969.773100000002,18731.9992,26556.675,18884.595500000003,17653.3973
1202 ALBACETE,39033.7823,50696.0778,55372.2325,54364.0218,62687.5913,59547.826499999996,72306.5771,72839.6683,96394.5964,60087.9608,57700.1189,61341.3646,66371.53700000001,60992.4276,58801.3574,64589.4542,69929.476,72485.8109,71404.9597,66967.2216,58292.6513
1213 CIUDAD REAL,36443.49189999999,40832.7225,41736.8505,40416.8229,31999.0683,43917.179299999996,44283.06189999999,45769.0432,49940.6584,55394.9437,49071.9249,45855.0908,39809.7316,39977.492000000006,34547.1353,33095.2601,27215.678300000003,29505.728,40968.2509,34008.0946,39665.540100000006
1216 CUENCA,32201.4398,29628.8471,22399.2063,27759.5902,18741.3618,24781.652899999997,21911.8332,26694.4879,32380.461499999998,32097.894999999997,33950.263399999996,43380.507600000004,49682.979300000006,39310.9729,28364.7944,31295.3995,35480.9437,42377.571500000005,53464.6583,46430.73390000001,40894.646
