Cultivos y cubiertas de suelo,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1303 ALICANTE,1924.9181999999998,1840.1363,1999.34,3767.6533,952.9333,1222.7914,848.2855999999999,698.2076,1784.5359,1533.0617,788.5272,655.4447,966.7022000000001,1821.7421,8.5509,463.5091,670.9165,583.563,351.6974,194.61,115.0402
1312 CASTELLON,759.3666,371.0004,321.32,474.2655,644.934,389.9237,596.802,546.5036,191.0796,857.2495,977.4605,938.8949,601.7749,553.6652,342.31039999999996,486.05490000000003,432.28090000000003,839.1,905.4053,683.4150000000001,273.9201
1346 VALENCIA,1493.8599000000002,2338.9044,2685.97,2199.8172,711.755,2427.2373,1447.0623999999998,2398.5550000000003,2357.6104,2745.6871,1044.2817,2034.8901,1140.5181,2463.5849,2368.1737000000003,2153.3131,2466.4134999999997,2529.2543,1507.2146,1590.9277,1610.4152
"1430 R,DE MURCIA",6521.281,8751.3213,12077.0307,12204.1222,10776.3719,12020.7832,18536.5346,17556.8845,13141.669600000001,12577.2816,10508.399399999998,14838.2725,16857.878500000003,18740.7549,10952.443599999999,15169.2813,11649.1525,15834.9848,13776.9529,10910.774500000001,4794.8763
1506 BADAJOZ,44471.0918,54064.986300000004,75914.08889999999,44413.606999999996,78670.8051,60626.4698,53867.4228,55642.902700000006,53306.829900000004,62346.2808,48111.78,49924.1406,65396.9571,54636.0058,46225.1927,36043.3716,41727.8486,52717.6823,47260.905199999994,38679.7215,34054.2074
1510 CACERES,12823.3595,8504.8557,15261.408,12675.9012,10074.2309,6572.5129,7153.8603,6507.3717,6004.533,7074.5677,7326.5924,8424.37,6792.5145,3755.229,2719.3186,10859.2102,6790.6151,6048.8042000000005,4403.347500000001,4725.6161999999995,6560.463199999999
1604 ALMERIA,2123.7392,3675.0442,2577.0877,3272.3763,3207.2197,3361.1316,8482.5888,3819.1514,4503.0038,2597.759,2753.6987,2666.925,2502.7574999999997,1673.7154,3704.1907,4018.2295,1693.0495,3045.0855,2003.1545,2171.2887,1291.8888
1611 CADIZ,4852.0218,4961.305,2726.2393,3687.0005,3450.584,5595.1311,4818.6893,5175.269,4634.9692000000005,2129.6663,1244.7068,1324.853,3702.3812,4797.378199999999,6331.077899999999,4410.276599999999,6794.7188,9218.8237,8702.175000000001,7364.6554,7704.331
1614 CORDOBA,5769.695,6954.0198,14384.702299999999,8456.1814,8588.8838,14334.1399,22192.6803,20907.398400000002,21191.654799999997,14611.927,15654.8595,17825.4866,28316.132999999998,28325.9729,20320.017600000003,16439.5417,14480.0623,21342.8493,13229.2876,19964.8714,23381.893200000002
1618 GRANADA,19528.0101,16658.4841,16693.3364,24538.0058,21292.591,23829.849,18920.7629,30095.102300000002,25210.4926,25175.2512,21575.6717,25533.551399999997,27220.2994,27583.577599999997,19872.4226,12618.4233,18080.3402,14034.4244,14302.2803,18190.4058,15872.152699999999
1621 HUELVA,1410.0062,4025.12,3196.0075,655.5311,1247.0662,1938.7759,487.0932,473.0215,573.5086,528.4543,677.0563,126.3963,131.3934,240.4327,73.9519,72.0069,222.7873,224.9147,1303.5886,135.8419,184.4779
1623 JAEN,2288.8124,1660.0445,3949.5482,2971.773,2681.1819,6217.8418,3889.1678,4959.0919,3557.0662,2726.6321,3014.3668,3960.8816,2977.492,3812.2963,2378.8511,2188.6078,2683.786,5443.692999999999,3401.8689999999997,2955.2128,1789.8305
1629 MALAGA,8048.8211,7712.9506,3894.5089000000003,6687.0063,3385.427,6632.1303,4781.616999999999,5828.2531,6563.8598,5694.3207999999995,4661.1761,4744.5234,4126.4521,4498.7028,5533.8817,4665.842000000001,2793.0606000000002,3240.8075,3586.4759,11621.8192,10790.8185
1641 SEVILLA,1362.9226999999998,2854.7297,9010.3495,5240.420700000001,8116.3374,4962.9572,7217.2116,4190.4705,5422.955,5649.3601,9159.8292,8744.215400000001,9829.685,5957.389499999999,5603.9138,8616.445000000002,16221.0144,9231.0977,12108.2271,21698.7075,18719.1998
1735 PALMAS (Las),34.1961,,,,,,,,,,,,,,10.6736,10.6736,10.6736,14.0174,42.7219,10.6736,10.6736
"1738 Sta,C,TENERIFE",44.8261,28.3875,,3.348,,2.177,13.191,,248.4758,,153.5393,241.8634,326.4875,73.5604,278.4499,14.6193,,17.7425,9.2782,,10.0863
01060 CENTENO,96557.11850000001,87714.33840000001,108144.0777,100792.0557,110523.45019999999,135358.5686,129633.189,163140.08919999996,156813.80190000002,163091.7478,147060.6483,152456.41799999998,159095.0243,123392.06539999999,146877.4152,145364.0026,139959.0116,146034.0553,125206.16199999998,110113.687,112172.84019999999
0115 CORUÑA (LA),130.3907,206.0494,25.6887,66.829,148.9695,95.306,81.0744,24.0142,31.87,77.7719,57.3592,57.3592,62.5234,58.6235,58.5959,90.7942,78.7741,78.7741,79.772,79.7747,150.103
0127 LUGO,2152.7233,2639.7076,2571.0356,1122.9521,1310.835,1380.2196,1051.7121,529.8855,973.6697999999999,913.0161,860.518,850.2710000000001,856.9503000000001,746.3002,710.6555,500.37300000000005,645.8406,413.8257,407.64430000000004,381.0574,410.5115
0132 ORENSE,2756.6474,3239.7104,5847.8056,4862.4469,5082.3957,5800.483200000001,4079.8861,4358.1954,4060.7864999999997,5433.0616,5188.2035000000005,4915.703,4788.723599999999,4344.3606,4197.2514,4176.740699999999,3658.0129,4534.007,4724.147800000001,4136.541800000001,4421.7915
0136 PONTEVEDRA,106.3337,72.9965,100.299,124.1079,39.251900000000006,60.6771,35.7994,13.7665,11.9953,55.273,34.5188,3.6577,3.658,21.06,3.6532,3.6532,3.6532,3.6532,3.6508,3.8342,168.8349
"0233 P,DE ASTURIAS",8.8162,7.7438,,,,,,12.1257,4.511,4.511,4.5105,4.5105,4.5105,4.5105,,,,,,,
0339 CANTABRIA,3.2983,,,,,,,,,,,106.1376,,,27.9927,,,27.9948,,,
0401 ALAVA,269.8484,,,15.5561,,,,,,,221.2055,370.06,370.0569,370.0569,355.0991,,,,256.292,,
0531 NAVARRA,,,227.1053,,,,,,,,9.3655,0.6572,297.3556,872.222,244.6841,279.6111,1115.7366,1164.9186,706.1972000000001,668.7746,35.8177
0626 LA RIOJA,326.4796,174.8463,119.429,93.7304,10.2879,45.6565,524.2475,263.9394,528.4965,940.8896,,2.4292,77.6992,281.5188,36.8383,92.2263,15.2692,,72.1024,14.5654,1153.5433
0722 HUESCA,27.9632,15.74,,1141.5855999999999,1016.4779000000001,2314.1663,304.9359,11.3212,629.389,645.6389,1288.6264,1598.493,1641.3379,457.1737,40.3784,160.1258,1123.2479,969.2382,5092.4502999999995,2098.5402,
0744 TERUEL,6734.8036,3207.4547,7433.0323,8760.954800000001,9956.508,10805.031099999998,9520.877900000001,12556.0612,11018.9952,12323.025399999999,12547.3123,14321.6386,16245.356899999999,10287.479299999999,11015.312000000002,10513.937600000001,10365.425299999999,10096.106199999998,6851.586,5942.0445,4272.8562
0750 ZARAGOZA,541.0014,425.9382,1591.8333,1706.356,3071.8869,4676.1246,3931.9336,2463.8252,4092.4588,5409.8909,2535.5921999999996,5166.2658,6475.3439,2962.0429,5726.9576,2888.2467,2524.3723,3369.9506,4072.3758,3923.5559000000003,4641.1486
0808 BARCELONA,,,,8.6399,86.7802,,273.7091,300.7788,,53.0842,171.1733,,185.3438,8.4071,2.6732,55.8004,55.8004,,105.5655,105.5661,376.8568
0817 GIRONA,,,,67.3614,73.2324,,65.227,65.8193,119.023,128.1162,209.4121,2.9,389.26,1.2227,83.2131,90.4167,142.5707,1.2223,320.0257,316.6414,306.4463
0825 LLEIDA,2.2604,2.2604,92.9998,,,,,,,78.7844,6.6487,276.3327,131.8406,63.1971,63.2801,63.279,117.7478,232.0138,114.2319,106.0155,563.3288
0843 TARRAGONA,95.2743,,,,,,,,,,,,,,,,72.8442,,,66.0781,
0907 BALEARES,,11.2593,24.2395,,,,,,4.3139,,,,29.0618,,,0.2237,,,,,
1005 AVILA,7216.9638,5234.9208,10375.7034,8812.8272,8609.3695,8433.7392,9620.117,14412.8632,13755.8539,10703.3432,10795.6402,9225.5757,8847.767,5437.0273,9202.956900000001,9614.241,9442.7316,9138.115399999999,4108.6755,4257.033100000001,4949.111
1009 BURGOS,3307.9355,3041.656,4882.1111,3893.7297,6070.5549,5438.5482,5289.5044,5256.5327,4555.5568,7515.8782,6718.126,7051.9857,4653.3469000000005,3997.4469,7140.9546,8198.2563,4204.4926,4622.9808,5513.2874,5326.4772,4007.6904
1024 LEON,8872.9567,12488.9383,7362.614,10970.1543,9992.8342,11741.998000000001,10118.2815,9190.9307,10435.314600000002,12037.661100000001,8967.2419,10163.1119,11101.6484,7571.112899999999,8218.615600000001,12796.7263,12429.478599999999,16636.7882,13433.0983,15075.6843,11743.079300000001
1034 PALENCIA,13725.1169,13607.247,13131.2931,15937.3926,14696.1597,18439.5311,15922.1048,18635.5464,17301.2047,16676.6592,16133.2276,15926.348199999999,15619.5846,16849.436299999998,16390.484,13412.2732,15889.6305,16189.1641,17317.0868,18273.667500000003,15653.3835
1037 SALAMANCA,7211.1722,7000.2843,7650.2286,4582.0511,6414.6737,8288.0393,9330.875,10224.7325,11073.7477,6739.263,10510.9459,9333.7554,9865.6092,5390.5863,4696.027400000001,6974.3248,5989.8821,5391.0319,4708.0153,2571.4332,4419.1276
1040 SEGOVIA,5391.1331,3980.2298,7263.174999999999,7056.1122,9243.1647,9298.7853,10835.724699999999,13349.5967,13267.2222,12830.2796,9406.6466,11119.8412,10652.0021,8667.3833,12238.6099,12113.1974,14349.443800000001,12198.7311,12241.5537,10479.465,8912.3835
1042 SORIA,7756.9005,5441.149,5201.3573,5934.4546,4290.0611,9004.5891,7695.2606,10206.4902,11810.374,12516.5705,8532.8932,12364.058,18178.9307,14973.094,22397.7738,21965.8001,17465.2631,16943.0109,13421.148299999999,10445.219200000001,12795.1804
1047 VALLADOLID,3582.8725,3756.8217,4963.5971,3924.3635,7646.4467,10119.478500000001,9015.6453,14677.2351,13275.1592,14501.9786,14134.47,13784.216,11427.5383,9831.8681,11037.280400000001,8308.9678,10414.4546,10794.0374,8745.4686,7053.8139,8772.770700000001
1049 ZAMORA,6293.614,9497.5187,7618.7741000000005,6992.6972,9150.5468,10127.1458,6951.1601,10478.5795,10309.7221,11889.266800000001,9726.8955,12455.7969,15658.5257,13468.5386,13476.119499999999,13150.844299999999,9144.3027,10048.307700000001,8570.842999999999,8721.6522,10688.1172
1128 MADRID,380.3472,356.8591,1396.646,506.9462,938.6633,2356.1701,1864.6702,2282.4616,1657.1584,879.2467,1568.3113,2982.0111,1701.1809,633.3548,741.7623,1501.5551,1385.2635,1379.9677,1455.7042,327.7983,425.0517
1202 ALBACETE,3616.3064,3040.0993,5650.3055,5429.1619,4664.1126,8091.6865,8304.2624,9604.5238,8152.270799999999,9703.5563,8778.6139,8048.2244,6597.4284,3264.6528,4354.7518,4171.2723,2945.2355,6354.8008,1740.6716,1196.7856,1079.922
1213 CIUDAD REAL,800.1357,157.3658,2279.3531,828.7496,464.6164,899.97,1687.1025,1797.3242,4476.2823,2461.7789,2196.2061,1914.1325,870.4659,1688.6503,941.8962,3846.8334,1321.9586,531.4008,1165.1344,196.9994,1060.6204
1216 CUENCA,1211.3521,239.5701,559.6104,534.8202,911.5021,762.6055,415.7521,842.8287,1597.1134,3373.6644,1682.3064,1473.9193,1140.8338,1885.7426,880.0646,701.5696,1282.1221,345.5227,913.1639,234.689,168.4126
1219 GUADALAJARA,3713.4448,1348.2778,6197.4179,5673.4856,3706.7051,4335.4867,4752.0498,5437.0799,1914.3829,2562.9376,3003.1594,579.9636,4370.794,2570.8621,3323.8014,1755.4478,3311.0977,5167.4843,2516.4201000000003,2346.4859,3733.8438
1245 TOLEDO,6283.4896,5550.4211,2556.5163,949.6834,1791.0232,1981.0451,6458.3453,11414.2171,9823.0444,11394.617,10841.982199999999,6311.2178,6435.5017,4112.7166,3782.8519,7239.6433,9638.2012,6482.3144,5676.9792,4580.8871,5077.8485
1312 CASTELLON,1232.3238,43.3919,7.53,,6.1786,6.2694,43.0282,,2.0282,43.0282,,,6.9156,19.4207,,,,,,,
1346 VALENCIA,,,,109.3912,23.3665,4.348,2.6285,198.2254,,,56.2265,257.3451,60.5214,,,,,,,440.1607,
"1430 R,DE MURCIA",885.3109,,,,,,867.0432,611.8295,584.8397,527.2937,,20.1549,20.1549,148.4822,151.9475,128.3268,257.3907,,35.865,,
1506 BADAJOZ,1258.248,2093.9284,2663.8269,260.2531,514.0349,260.2531,34.2215,275.0459,28.4781,,85.2619,,,20.3535,5080.4342,218.0652,204.921,223.0585,,,226.7435
1510 CACERES,649.4305,309.8325,298.9574,389.0758,370.7755,52.4237,140.1361,2066.5045,137.1353,107.0463,231.0669,70.8176,,185.9714,,,,1720.3227000000002,96.9667,,
1604 ALMERIA,,,,,,,,,,,,,,528.1371,,,40.1686,,,,310.2091
1614 CORDOBA,,522.1202,,,,310.049,,,455.109,,43.3307,268.1162,107.3871,497.6763,107.3868,138.077,107.3829,493.5832,94.1248,180.8705,800.7172
1618 GRANADA,,,,36.1862,222.0353,228.7426,415.8728,1550.2164,272.2791,517.8791,428.4152,1409.3992,213.15449999999998,1148.2524,147.1118,120.585,33.3996,207.1001,587.6726,415.7017,655.4152
1621 HUELVA,,,,,,,,,,8.0998,85.2349,,,,,,,,,1.5346,
1623 JAEN,,,40.5294,,,,,,431.264,,,,,,,,,240.827,,,
1629 MALAGA,,,,,,,,,,,,,,,,92.5675,,,,99.6364,99.6364
1641 SEVILLA,,,,,,,,,15.0998,38.6364,,,,,,,149.2289,,,,92.3376
1735 PALMAS (Las),12.2238,,11.063,,,,,15.7508,6.4928,,,,,16.3267,,,8.9408,8.9408,55.2265,44.7024,
"1738 Sta,C,TENERIFE",,,,,,,,11.842,1.1595,,,20.0118,6.7108,6.7969,,,24.7257,24.8603,3.0144,,
01070 TRITICALE,28232.379200000003,27814.7604,39548.4024,32319.493300000002,33005.3728,43871.03180000001,44260.18879999999,62968.25910000001,79526.4751,124275.93690000002,154400.73360000004,159106.41309999998,187723.6473,176316.30540000007,164073.6071,194449.24869999997,203847.6468,203581.59120000008,199314.3451,200868.11980000004,208201.9349000001
0115 CORUÑA (LA),,,92.5202,2.162,6.5283,1.8352,2.6809,,,,1.9219,2.4545,0.836,,,,,,,,
0127 LUGO,,,,50.9569,,,,,,,,23.7285,,,,,,29.7773,29.777,84.8297,191.7619
0132 ORENSE,99.2362,99.2362,,,,,,,,,,,,,,90.8782,,138.08339999999998,93.8267,,71.4881
0401 ALAVA,,,,,18.9633,,,,,,,19.7044,19.7044,19.7044,19.7016,,161.4693,161.4693,,,882.0759
0531 NAVARRA,,,,,447.9094,,,,,102.342,148.863,,507.9495,55.6604,,15.5744,2035.6155,973.9481999999999,2059.3794,743.4123999999999,1515.4546
0626 LA RIOJA,,,,,,,309.0269,276.4244,1214.5537,2600.6804,1446.5383,1228.5508,1176.9781,709.0581,2470.0337,455.90819999999997,3077.0214,3660.5456999999997,827.5405000000001,1311.2446,1015.4669
0722 HUESCA,,3.2879,,53.1178,,318.358,617.6466,103.945,606.4852000000001,1168.9495,1836.8465,956.1182,2172.4144,5147.4703,1335.1071000000002,3210.8723,8680.9841,8974.103799999999,8286.735999999999,6661.3273,7735.5548
0744 TERUEL,266.2435,266.2435,,374.2269,417.0403,998.0885,397.3847,1160.0168,6574.4844,6721.8304,10504.9681,11819.368699999999,21431.3001,22066.5291,25770.7268,22330.727,25679.8099,17433.1739,16953.2298,13216.1543,22307.1161
0750 ZARAGOZA,,,45.0246,113.9834,1053.7285,462.5667,113.4927,2022.9679999999998,3828.1090999999997,2295.7639,1402.2948999999999,4044.9497,6293.0418,7185.0138,3351.5734,6972.5989,8499.1198,14166.356,25564.9908,24190.8152,32247.9758
0808 BARCELONA,303.2703,16.9585,,97.7521,51.976,937.646,302.64869999999996,678.3772,1397.1685,577.7174,139.8723,1422.6306,891.9738,328.5742,433.2334,78.2396,78.2396,391.7774,525.2589,141.6658,180.2673
0817 GIRONA,969.9103,1168.6652,994.5841,334.756,252.95159999999998,40.7637,134.6723,508.2334,151.5716,1261.1739,596.9543,499.053,408.1915,26.5664,26.5614,16.7423,,159.7432,94.0868,99.0002,100.8392
0825 LLEIDA,772.5925,154.1936,1076.5121,3692.0877,2818.5211,3853.0663,3917.5292,5032.5194,5285.1884,3619.1437,2393.7242,3468.2061000000003,2033.6374,1921.2649000000001,1712.1580000000001,1874.9817,1475.6300999999999,1614.6341,2771.1908,6154.599099999999,4649.8333
0843 TARRAGONA,,,338.5203,201.5003,246.7616,201.5003,299.7224,2064.0963,685.9739,361.2782,140.055,1215.9707,437.1828,357.2513,95.4889,228.6468,42.007,112.0696,184.552,72.2861,279.6815
0907 BALEARES,2118.1582,1900.9369,1168.111,686.6696000000001,1837.8921,601.2627,795.3262,414.3931,656.0591000000001,1154.8753,972.9707,914.0628,994.6968,2054.6188,845.6406,175.6164,280.4848,201.7373,385.1797,131.1337,75.2234
1005 AVILA,,,,,,,,,,71.8576,806.9194,91.5772,75.5055,73.3602,631.5253,393.3086,962.2893,1870.7103000000002,1217.9016000000001,1361.4033,2340.4882000000002
1009 BURGOS,,122.8519,,,59.9109,59.9109,97.5551,17.3686,266.1461,1210.967,4976.2883,3014.7986,6402.5012,5321.2012,6610.3041,3089.7834,1693.2494,3862.5825,2871.9989,4161.3045999999995,4174.0527
1024 LEON,48.0756,33.0096,37.3445,,,,,192.5857,220.63049999999998,180.3503,500.2125,826.1106,381.5811,1491.132,1382.7709,3363.7781,2473.2531,2005.5844,3846.858,2255.6563,5298.868399999999
1034 PALENCIA,,,,,,,,195.0677,297.514,851.3851999999999,3340.6987999999997,3283.1859,4053.5586000000003,4085.7338999999997,2885.4188,7029.0779999999995,5372.2319,3129.4448,2120.0809,3478.7837,4516.975100000001
1037 SALAMANCA,8.7995,8.7012,8.7012,8.1209,107.8092,,33.7318,80.6125,,,2257.9501,,496.5046,156.933,179.4036,2259.1143,1085.308,2124.4499,1083.9534,1705.3646999999999,1395.5296
1040 SEGOVIA,29.2314,,43.8706,,,,27.0674,149.145,344.5547,696.1098,699.8119,1093.9238,1394.2313,966.8881,831.7252,2327.0055,2213.7653,3525.4378,3651.9647,5823.0542000000005,3707.3483
1042 SORIA,76.9839,2528.4591,902.3149,2687.4968,715.7687,1876.0976,963.0361,2663.5481,392.1865,2566.4335,1423.8191,3804.7664,1980.8197,2387.7606,2473.2174,3935.1316,2415.2028,4387.5588,4752.8437,8975.2016,9979.2715
1047 VALLADOLID,,,11.1613,,85.9802,17.3553,368.3595,71.677,1150.7296,2658.0869999999995,511.7317,2990.582,3937.9092,1108.9335,1179.0441,2623.7951000000003,947.2001,2220.8482,971.7524,602.1584,464.6178
1049 ZAMORA,2249.7317,1953.9649,3870.6326,306.1569,1325.2333,917.7387,555.0263,1427.1756,1048.3821,2180.2637999999997,2741.0150000000003,4463.3267,1112.3719,1306.1133,4053.3107,4333.0921,5747.3625999999995,3457.3495000000003,2000.6284,647.5309,1822.5792999999999
1128 MADRID,,263.3794,83.6995,681.4392,179.0721,895.5322,1153.5487,1418.2353,856.2798,969.605,655.7136,3605.9485,7357.469,5261.9932,5572.2658,5246.4783,5744.324,5379.0869,4531.4717,6243.210099999999,6248.9572
1202 ALBACETE,2119.8048,1720.0073,793.8557,1343.3578,747.299,346.6394,1428.8024,2273.9953,3788.4906,4086.5589,6772.7638,10275.3276,14950.4926,20634.4653,14626.4686,17375.7074,16750.1659,16593.1632,19960.915399999998,19131.977199999998,10252.4537
1213 CIUDAD REAL,969.9459,403.1117,738.6469,1188.0401,832.2791,2868.9625,1125.1118,3633.6792,3951.2365,8175.457,7395.3116,13298.9533,12579.593700000001,11231.300700000002,8101.36,12683.1999,15162.8925,13051.887,14133.9828,12533.2818,10750.5947
1216 CUENCA,167.2072,764.8887,1654.6267,48.8411,1542.2107,3741.2959,4072.3389,4102.6089,7967.8746,10600.8693,6342.8769,7137.4248,8786.9057,6750.5298,4671.743,6424.5124,9156.1111,6961.7878,6595.1909000000005,5259.688499999999,7597.2414
1219 GUADALAJARA,,444.1943,306.3104,25.7811,,16.6787,2547.1234,3469.677,3729.6745,8229.3443,7762.114,11291.4977,13017.8548,8502.2887,8401.5698,12624.824400000001,14530.8574,9805.566,7796.4412,7444.574,7468.4367
1245 TOLEDO,663.3125,1026.0311,682.7067,528.307,981.8001,4234.8849,3561.9689,4665.7287,10190.9825,16515.8224,18857.267200000002,29631.6434,35892.061700000006,30433.5372,33085.0211,27884.061400000002,27404.402100000003,28419.1299,21584.9736,23469.9748,16350.281500000001
1303 ALICANTE,,,,,,,,,,,,,,,,,,161.4256,210.746,161.4688,
1312 CASTELLON,,,,,,,10.1067,,,,,,12.5051,,,0.311,,260.69,,81.7764,38.7938
1346 VALENCIA,,,,,,,,,,,,,,,,,73.7876,34.3583,210.0635,,
"1430 R,DE MURCIA",,,,,,,,,,,,,,,,,809.1634,,,,573.7482
1506 BADAJOZ,8166.8016,3136.2224,10153.2353,7378.0796,1509.5065,4272.4069,7314.6515,13801.0267,6452.1687,13805.52,22820.7408,12502.7139,9773.7531,9632.738,5081.388400000001,13988.699299999998,8427.9576,13174.8435,8545.0019,7279.0292,8308.7883
1510 CACERES,422.2149,18.324,160.5462,163.6348,12.716,59.5148,1026.8531,,1112.8890000000001,2054.7505,2805.3076,1713.6135,2900.9988,1056.4662,70.1904,2339.1288,11.0696,107.4889,1312.8453,472.4584,1421.8559
1604 ALMERIA,14.5551,,,,,,,,,423.6849,,,,6.2821,,,,,,,
1611 CADIZ,2698.7337,5340.9074,7261.6264,4539.2998,7449.489,7093.8864,4027.1476000000002,5772.621,7991.5043000000005,9843.4333,9877.7929,6203.2611,6299.485,5500.4908,6618.9799,6591.1373,11893.3825,8461.6394,10183.931,12290.3316,7972.4964
1614 CORDOBA,,419.1414,647.7741,474.2645,399.07890000000003,625.4627,127.4373,88.5441,243.6187,935.9819,4528.0747,3964.6986,3368.4255,2197.587,4999.349200000001,6976.56,3323.1465,5061.6583,6069.8784,3584.7253,3486.0525
1618 GRANADA,,,,,83.4806,60.286,51.8758,26.768,150.6023,864.6892,1447.5482,1987.9453,754.2832,398.5104,197.9598,499.13190000000003,40.2186,584.2287,482.7265,210.6743,447.5199
1621 HUELVA,2032.1355,2784.3927,4639.331099999999,2444.6904,4984.7507,3848.2534,3531.2889,3373.419,3260.4037,3357.9377,6143.9753,664.2561,1446.0451,3520.7091,4235.0737,2413.1558,3112.5734,1172.1011,3025.6294,659.8935,2179.9064
1623 JAEN,,,,,,,220.2866,85.5942,258.0931,121.7,823.0602,1022.476,1560.2315,1794.5182,1444.0672,704.6297,2494.5189,96.4083,61.9686,44.1647,299.864
1629 MALAGA,91.8338,249.4267,637.5657,161.637,154.916,141.0459,368.8178,1013.8523,1652.3255,2250.2634,2174.6767999999997,2869.2333,1091.6722,463.9397,128.8239,2174.3594,2539.3966,4498.7506,1199.2389,1194.3928,860.6900999999999
1641 SEVILLA,3943.6011,2988.2248,3199.1803,4733.1336,4681.799599999999,5379.9922,4757.922600000001,2184.3556000000003,3800.5939,11761.1102,19150.054,7754.3508,11728.9806,12161.1815,10552.4013,11718.4792,9453.435099999999,15155.9923,13115.6096,18989.5723,18991.7845
01080 MEZCLA DE CEREALES DE IN,53355.906299999995,43930.38460000001,67844.79299999999,52340.70330000001,43914.1655,50484.12550000001,39161.564000000006,42015.7533,45683.74049999997,30664.581400000003,31369.553300000007,31479.1156,31662.0497,28495.1398,37691.00670000001,35871.01130000001,23117.738199999996,23125.6108,52690.655300000006,32155.68,27558.445900000002
0115 CORUÑA (LA),13.8631,13.8631,,118.3643,26.4627,66.27,69.8951,,,,,,,,,,,,,,
0127 LUGO,,,,37.7597,335.9867,86.0033,40.6775,22.3572,32.165,29.3397,,,,,,,5.5161,20.8748,,,
0132 ORENSE,,,36.2015,36.6257,51.2965,152.2321,3.1823,,,,,,,,,,53.7736,25.2155,,13.9884,
0136 PONTEVEDRA,,,53.273,10.2312,8.953,,,14.0197,3.4681,,,,,,,,,,,,
"0233 P,DE ASTURIAS",,,,30.4708,,,,,,,,,,,,,,,,,
0339 CANTABRIA,,,,,,,,,19.4055,,,,,,,,,,,,
0401 ALAVA,44.8055,,,,,202.4337,,,195.3347,,,,,,,,,,,,
0531 NAVARRA,,,1141.0978,,,255.0232,,11.0121,,,,,,,,,3.2366,,55.2044,,381.5367
0626 LA RIOJA,,,,11.669,,,,,,12.3666,,,,,,,,,5.074,,
0722 HUESCA,61.5076,61.5076,,64.403,2083.9279,1747.9902000000002,99.3057,,127.7742,,,,37.1321,34.0304,38.8407,58.9192,,,,,33.0466
0744 TERUEL,822.5767,634.4268,1603.7118,10622.9919,7176.109,3765.9601,873.3703,1361.2431,1360.3563,1199.3405,412.48199999999997,93.79660000000001,148.6079,7.2595,787.7256,59.8097,131.387,52.8723,100.0801,4.5482,649.1237
0750 ZARAGOZA,70.8679,176.7442,58.003699999999995,213.187,476.7303,373.59580000000005,872.8159,41.303799999999995,195.68349999999998,363.9242,525.7939,186.1551,,11.2016,156.4092,1.87,,93.4249,3.3138,169.0215,237.7278
0808 BARCELONA,178.8091,98.41,303.7783,111.4371,73.9603,,325.1378,49.3496,71.518,,,84.5906,,,,,,,,,
0817 GIRONA,229.4986,24.1225,33.0531,129.7058,,8.2107,8.2107,8.2853,41.996,101.8093,19.5732,,,,,,,,107.7263,54.4214,70.4133
0825 LLEIDA,,300.6669,2373.8862999999997,986.9842,1684.07,1360.7768,509.8811,318.1324,394.3948,296.8036,739.2767,184.796,22.6673,51.2142,83.5241,3.977,,94.0191,,,6.2514
0843 TARRAGONA,49.0526,40.032,11.4637,55.0497,19.0701,,,,,,226.3133,,,286.1504,,,,,,19.9614,14.5711
0907 BALEARES,4156.4746,5526.120400000001,3192.1431000000002,1470.7788,2009.2631,837.4668,534.6384,922.2766,603.9263,76.7712,863.5451,370.427,146.7324,131.8311,65.7724,104.2561,117.1007,205.7363,887.7705,547.8382,41.8533
1005 AVILA,73.8202,4.5253,364.4277,296.8658,103.6191,,,185.4151,,99.682,164.077,,504.6962,1172.2741,894.8579,1298.3386,10.296,10.296,,65.8213,48.8187
1009 BURGOS,443.4104,67.4371,767.1433,514.4526,149.4954,64.5189,,536.0531,12.2942,207.6834,265.179,,,364.8702,250.3058,250.3071,,,,,
1024 LEON,2051.0359,959.6146,1255.3532,1958.0496999999998,661.5242000000001,1156.2303,585.3304,258.9369,414.6023,500.817,628.3622,151.6598,321.2802,801.3167,566.6477,23.1632,39.5827,132.42340000000002,123.9164,454.0033,137.715
1034 PALENCIA,,507.6469,283.8544,233.1846,60.1105,1288.4454,,,50.994,164.4248,128.9797,318.355,204.0468,432.4508,165.8836,,195.8802,,,,
1037 SALAMANCA,863.5375,,1858.1431,1445.0211,441.2143,1164.6507,1285.276,663.2844,295.7759,627.1202,208.0847,55.2728,106.9821,146.5027,,,,234.439,668.1292,80.96629999999999,304.4202
1040 SEGOVIA,42.4527,161.8433,104.2411,203.5546,290.576,104.7032,107.5075,,22.3993,12.9533,15.7376,174.7969,102.839,2.6718,,,,149.5609,,,
1042 SORIA,,,,69.5047,146.9647,,14.8031,,,,,,,,71.9084,102.3755,,,,,
1047 VALLADOLID,58.4531,775.5717,35.2635,1053.8868,502.0898,139.079,188.9158,55.5806,2037.2157,379.8385,,,,,,673.1475,313.7115,,,,78.9634
1049 ZAMORA,999.4246,678.1373,997.0009,459.615,676.9026,297.1079,517.4853,579.3715,543.3976,284.1987,140.0939,212.8098,217.1418,152.0724,,27.7405,173.4251,186.5416,173.4168,,1.9092
