anio,temp_media,temp_min,temp_max,precipitacion,provincia
2004,25.723287671232875,16.171232876712327,35.272602739726025,1.9,Jaén
2005,22.616410256410255,14.104102564102565,31.127692307692307,191.29999999999998,Jaén
2006,18.015555555555554,10.546666666666667,25.482592592592592,272.0,Jaén
2007,15.75204678362573,7.968421052631578,23.60406976744186,76.7,Jaén
2008,19.54,11.161691542288557,27.8715,312.7,Jaén
2009,17.385714285714286,9.40575221238938,25.47422222222222,319.5,Jaén
2010,18.56026490066225,11.14983498349835,25.880065359477125,820.4,Jaén
2011,18.759696969696968,11.072727272727272,26.478869047619046,375.1,Jaén
2012,16.867751479289943,8.724483775811208,25.025958702064894,491.9,Jaén
2013,16.89252336448598,9.34797507788162,24.442679127725857,548.2,Jaén
2014,17.6721875,10.23,25.08473520249221,358.7,Jaén
2015,18.167217630853994,9.645179063360882,26.69063360881543,312.6,Jaén
2016,18.078082191780823,10.243835616438357,25.91260273972603,451.1,Jaén
2017,18.357300275482093,9.493112947658402,27.221487603305786,343.4,Jaén
2018,15.477327935222672,7.950607287449393,23.00161943319838,402.5,Jaén
2019,18.140389972144845,9.82924791086351,26.446796657381615,469.09999999999997,Jaén
2020,18.236538461538462,10.382967032967032,26.088186813186812,397.8,Jaén
2021,16.803968253968254,9.060714285714287,24.550595238095237,583.4,Jaén
2022,18.979320113314447,11.112181303116147,26.845892351274788,452.0,Jaén
2023,18.81301939058172,10.613573407202216,27.015235457063714,281.8,Jaén
2024,18.88607242339833,11.220055710306406,26.55905292479109,426.2,Jaén
