provincia,anio,temp_media,temp_min,temp_max,precipitacion
Valladolid,2004,12.582786885245902,6.797814207650274,18.37185792349727,323.2
Valladolid,2005,12.833698630136986,6.624383561643836,19.03890410958904,275.8
Valladolid,2006,13.503835616438355,7.6219178082191785,19.383013698630137,522.1
Valladolid,2007,12.259178082191783,6.393698630136986,18.125205479452056,495.6
Valladolid,2008,12.205737704918032,6.364207650273224,18.048907103825137,546.2
Valladolid,2009,13.462465753424658,7.284383561643836,19.642191780821918,336.3
Valladolid,2010,12.607123287671234,6.849041095890411,18.361643835616437,530.0
Valladolid,2011,13.798082191780823,7.662465753424658,19.935890410958905,324.9
Valladolid,2012,12.592349726775957,6.431967213114754,18.74863387978142,372.1
Valladolid,2013,12.193424657534248,6.4150684931506845,17.96767123287671,507.3
Valladolid,2014,13.645479452054795,7.851506849315069,19.437260273972605,433.8
Valladolid,2015,13.372602739726027,7.22931506849315,19.51753424657534,349.8
Valladolid,2016,13.018032786885247,7.075409836065574,18.954371584699455,456.8
Valladolid,2017,14.2586301369863,7.378630136986301,21.136438356164383,190.8
Valladolid,2018,13.369315068493151,7.653150684931507,19.07972602739726,596.2
Valladolid,2019,13.705479452054794,7.46027397260274,19.948493150684932,397.6
Valladolid,2020,14.151366120218578,8.049453551912569,20.25054644808743,442.4
Valladolid,2021,13.520547945205479,7.372328767123288,19.661643835616438,398.7
Valladolid,2022,14.736438356164385,8.372876712328766,21.102465753424656,434.1
Valladolid,2023,14.40876712328767,8.22986301369863,20.585753424657536,393.4
Valladolid,2024,14.171857923497267,8.196448087431694,20.142349726775958,482.0
