provincia,anio,temp_media,temp_min,temp_max,precipitacion
Logroño,2004,13.405737704918034,8.779234972677596,18.03032786885246,445.4
Logroño,2005,13.368767123287672,8.215068493150685,18.527671232876713,351.2
Logroño,2006,14.352876712328767,9.263013698630138,19.446027397260274,393.8
Logroño,2007,13.412328767123288,8.344657534246576,18.482191780821918,423.6
Logroño,2008,13.170491803278688,8.220491803278689,18.12459016393443,587.2
Logroño,2009,13.942541436464088,8.541160220994476,19.34475138121547,375.0
Logroño,2010,13.427692307692308,8.223692307692307,18.635384615384616,276.0
Logroño,2011,14.335068493150686,8.813424657534247,19.855342465753424,300.2
Logroño,2012,13.868852459016393,8.414754098360657,19.32185792349727,362.4
Logroño,2013,13.09010989010989,8.175274725274726,18.004395604395604,558.4
Logroño,2014,14.318767507002802,9.000560224089636,19.63781512605042,464.2
Logroño,2015,13.989355742296919,8.634173669467787,19.34453781512605,413.8
Logroño,2016,13.868032786885246,8.610928961748634,19.124043715846994,342.6
Logroño,2017,14.469421487603304,8.55840220385675,20.37961432506887,365.6
Logroño,2018,14.042739726027397,8.922739726027398,19.163013698630138,587.0
Logroño,2019,14.281369863013698,8.535068493150685,20.027671232876713,564.0
Logroño,2020,14.345081967213115,8.96448087431694,19.726502732240437,518.0
Logroño,2021,13.864738292011019,8.609917355371902,19.118181818181817,587.4
Logroño,2022,15.11753424657534,9.296438356164384,20.93890410958904,289.4
Logroño,2023,15.312637362637362,9.777747252747252,20.837637362637363,486.0
Logroño,2024,14.784340659340659,9.516208791208792,20.048351648351648,495.4
